iter	Passed	Remaining
338	593	1156
339	594	1153
340	595	1150
341	596	1147
342	597	1145
343	599	1143
344	601	1142
345	603	1140
346	604	1137
347	605	1135
348	607	1134
349	609	1131
350	610	1128
351	611	1125
352	612	1122
353	615	1122
354	617	1122
355	619	1119
356	620	1117
357	621	1114
358	622	1111
359	623	1108
360	624	1105
361	625	1102
362	626	1099
363	627	1097
364	630	1097
365	632	1095
366	633	1093
367	634	1090
368	635	1087
369	636	1084
370	637	1081
371	639	1079
372	640	1077
373	642	1074
374	643	1072
375	645	1070
376	647	1069
377	648	1067
378	650	1065
379	651	1062
380	652	1059
381	653	1057
382	654	1054
383	655	1051
384	656	1048
385	658	1047
386	660	1046
387	662	1044
388	663	1042
389	664	1040
390	666	1037
391	667	1035
392	668	1032
393	669	1029
394	670	1027
395	671	1024
396	675	1025
397	676	1023
398	678	1022
399	680	1020
400	681	1018
401	682	1015
402	684	1013
403	685	1011
404	686	1008
405	687	1006
406	690	1006
407	692	1005
408	694	1003
409	695	1001
410	697	999
411	698	996
412	699	994
413	700	991
414	701	989
415	703	988
416	705	986
417	707	985
418	708	983
419	710	980
420	711	978
421	712	975
422	713	973
423	714	970
424	715	968
425	716	965
426	717	963
427	720	962
428	721	960
429	722	958
430	723	955
431	724	953
432	725	950
433	727	948
434	728	945
435	729	943
436	730	940
437	731	938
438	732	935
439	734	934
440	736	933
441	737	931
442	738	928
443	739	926
444	740	923
445	741	920
446	742	918
447	743	916
448	744	913
449	745	911
450	746	909
451	748	907
452	750	906
453	751	904
454	753	902
455	754	899
456	755	897
457	756	895
458	757	892
459	758	890
460	759	888
461	760	885
462	761	883
